epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9337,1.36479,3.39257,1.72298,0.01094,0.79545,0.12414,0.04058,1.50007,3.70869,2.22339,5e-05,5e-05,5e-05
2,25.5322,1.1603,3.10782,1.42208,0.01462,1,0.48016,0.24494,1.05573,3.34348,1.34236,0.000110644,0.000110644,0.000110644
3,38.189,1.08681,2.71421,1.29911,0.01648,1,0.51058,0.28408,0.98371,3.2252,1.30541,0.000169225,0.000169225,0.000169225
4,50.8673,1.10945,2.29545,1.34717,0.01722,1,0.61838,0.32422,1.05427,3.0943,1.42392,0.000225744,0.000225744,0.000225744
5,63.5064,1.08745,1.93592,1.32785,0.01619,1,0.88666,0.47707,0.97126,2.95333,1.34396,0.0002802,0.0002802,0.0002802
6,76.1435,1.10393,1.73714,1.30984,0.88233,0.58798,0.90276,0.49548,0.97528,2.8778,1.32257,0.000332594,0.000332594,0.000332594
7,88.8169,1.10146,1.59435,1.3134,0.99227,0.26757,0.93793,0.54272,1.06373,2.64009,1.3864,0.000382925,0.000382925,0.000382925
8,101.489,1.14163,1.58443,1.3261,0.86286,0.76461,0.92653,0.49826,1.24263,2.10224,1.6682,0.000431194,0.000431194,0.000431194
9,114.184,1.09911,1.46202,1.3081,0.75409,0.56326,0.80275,0.45131,1.14466,2.44681,1.50583,0.0004774,0.0004774,0.0004774
10,126.993,1.03281,1.47443,1.27935,0.69296,0.69894,0.88568,0.4729,1.18985,2.1657,1.48222,0.000521544,0.000521544,0.000521544
11,139.713,1.02103,1.34599,1.22977,0.951,0.96849,0.98389,0.56911,1.21825,1.72265,1.53436,0.000563625,0.000563625,0.000563625
12,152.453,1.03655,1.41172,1.24995,0.93327,0.94739,0.97556,0.55924,1.24718,1.77988,1.55066,0.000603644,0.000603644,0.000603644
13,165.072,1.04486,1.36092,1.22406,0.9337,0.92635,0.97222,0.57473,1.24933,1.80766,1.59294,0.0006416,0.0006416,0.0006416
14,177.802,1.05484,1.32456,1.25574,0.85882,0.90345,0.9558,0.52674,1.24457,1.87501,1.51965,0.000677494,0.000677494,0.000677494
15,190.574,1.04673,1.28964,1.2131,0.81199,0.76045,0.944,0.55756,1.15218,2.04057,1.43054,0.000711325,0.000711325,0.000711325
16,203.273,1.01201,1.3423,1.28578,0.74825,0.79522,0.93406,0.5335,1.12904,1.99931,1.39226,0.000743094,0.000743094,0.000743094
17,215.997,1.04059,1.31276,1.23029,0.74717,0.64754,0.93162,0.5348,1.13632,2.19472,1.44628,0.0007728,0.0007728,0.0007728
18,228.784,1.03923,1.29643,1.22084,0.73737,0.81412,0.94999,0.5512,1.20158,1.98172,1.5306,0.000800444,0.000800444,0.000800444
19,241.451,0.96643,1.24743,1.20702,0.84238,0.81641,0.94273,0.56035,1.21831,1.78634,1.51462,0.000826025,0.000826025,0.000826025
20,254.265,0.98308,1.28306,1.22756,0.87265,0.87383,0.93314,0.50487,1.14587,1.66579,1.48642,0.000849544,0.000849544,0.000849544
21,267.044,1.01355,1.26926,1.25073,0.92123,0.92116,0.95951,0.53855,1.13499,1.6107,1.44717,0.0008375,0.0008375,0.0008375
22,279.785,0.9547,1.19985,1.20366,0.93472,0.86407,0.95347,0.52413,1.24111,1.59693,1.49582,0.000816875,0.000816875,0.000816875
23,292.44,1.02074,1.2059,1.20198,0.90351,0.8347,0.94193,0.51782,1.32015,1.711,1.57748,0.00079625,0.00079625,0.00079625
24,305.23,0.99798,1.22972,1.21373,0.73525,0.87918,0.93445,0.53891,1.19506,1.84736,1.53,0.000775625,0.000775625,0.000775625
25,317.905,0.98216,1.16143,1.19074,0.75579,0.81036,0.88171,0.53074,1.17764,1.93085,1.48797,0.000755,0.000755,0.000755
26,330.794,0.96119,1.09875,1.15439,0.7756,0.80065,0.83033,0.52639,1.14064,1.93889,1.44442,0.000734375,0.000734375,0.000734375
27,343.665,0.96183,1.11563,1.16171,0.75264,0.89659,0.85286,0.54064,1.13421,1.71925,1.41467,0.00071375,0.00071375,0.00071375
28,356.382,0.93267,1.1876,1.1986,0.82356,0.81574,0.89267,0.58398,1.10851,1.56759,1.39432,0.000693125,0.000693125,0.000693125
29,369.104,0.91603,1.09426,1.17153,0.67733,0.87062,0.7842,0.47178,1.17561,1.76753,1.44923,0.0006725,0.0006725,0.0006725
30,381.785,0.9458,1.1062,1.16848,0.69751,0.75269,0.68607,0.39726,1.21587,2.24003,1.49171,0.000651875,0.000651875,0.000651875
31,394.498,0.937,1.14339,1.1872,0.69725,0.70644,0.65629,0.38708,1.13273,2.39769,1.41595,0.00063125,0.00063125,0.00063125
32,407.32,0.93697,1.1049,1.15811,0.67491,0.82997,0.79925,0.50874,1.03483,1.96406,1.35311,0.000610625,0.000610625,0.000610625
33,419.964,0.92856,1.1207,1.16962,0.75801,0.86203,0.86087,0.54517,1.07251,1.71619,1.38612,0.00059,0.00059,0.00059
34,432.658,0.87961,1.09824,1.13659,0.73184,0.88961,0.88399,0.56568,1.05788,1.56364,1.37996,0.000569375,0.000569375,0.000569375
35,445.384,0.89637,1.07491,1.1432,0.85063,0.94296,0.95059,0.59994,1.07104,1.4159,1.43196,0.00054875,0.00054875,0.00054875
36,458.132,0.90137,1.1607,1.17413,0.92169,0.95638,0.97631,0.59508,1.09466,1.40246,1.47545,0.000528125,0.000528125,0.000528125
37,470.746,0.89123,1.11539,1.17181,0.81756,0.90879,0.91259,0.5586,1.08257,1.43373,1.43759,0.0005075,0.0005075,0.0005075
38,483.4,0.87898,1.05047,1.12064,0.81508,0.87267,0.8882,0.55759,1.05896,1.43383,1.40295,0.000486875,0.000486875,0.000486875
39,496.137,0.89913,1.11197,1.17534,0.86346,0.82046,0.88838,0.52303,1.08433,1.46089,1.41468,0.00046625,0.00046625,0.00046625
40,508.816,0.87315,1.07665,1.15894,0.78922,0.87639,0.91217,0.50219,1.08949,1.4591,1.42689,0.000445625,0.000445625,0.000445625
41,521.437,0.88907,1.06051,1.10686,0.89069,0.84462,0.92452,0.54136,1.09594,1.37267,1.40644,0.000425,0.000425,0.000425
