epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,534.112,0.91477,1.08669,1.15374,0.79997,0.93568,0.91003,0.53882,1.12331,1.34042,1.40963,0.000404375,0.000404375,0.000404375
43,546.804,0.89397,1.04847,1.14068,0.86037,0.93371,0.91544,0.54921,1.12678,1.33128,1.41403,0.00038375,0.00038375,0.00038375
44,559.495,0.89073,1.01587,1.13059,0.91799,0.93371,0.93626,0.54692,1.1511,1.34039,1.42271,0.000363125,0.000363125,0.000363125
45,572.156,0.88151,1.04463,1.13982,0.91334,0.92481,0.93554,0.55688,1.2018,1.31132,1.45429,0.0003425,0.0003425,0.0003425
46,585.007,0.87512,1.02468,1.13305,0.89609,0.93371,0.93725,0.56171,1.20996,1.28547,1.46813,0.000321875,0.000321875,0.000321875
47,597.69,0.85863,1.01804,1.13315,0.90371,0.93371,0.93581,0.5412,1.19768,1.28328,1.46299,0.00030125,0.00030125,0.00030125
48,610.333,0.83511,1.01942,1.11695,0.91689,0.93371,0.9235,0.51202,1.20294,1.36076,1.47892,0.000280625,0.000280625,0.000280625
49,623.002,0.82643,0.98232,1.10597,0.91627,0.93371,0.92588,0.50038,1.19773,1.38881,1.46506,0.00026,0.00026,0.00026
50,635.684,0.82661,1.02553,1.11756,0.91707,0.92007,0.92808,0.50396,1.19978,1.38301,1.4532,0.000239375,0.000239375,0.000239375
51,648.163,0.76555,1.16692,1.10964,0.91567,0.92821,0.93264,0.50867,1.19918,1.39566,1.44678,0.00021875,0.00021875,0.00021875
52,660.654,0.78024,1.11558,1.13902,0.91348,0.93371,0.92811,0.48839,1.1875,1.45842,1.45256,0.000198125,0.000198125,0.000198125
53,673.038,0.75253,1.08756,1.13527,0.91261,0.93371,0.92223,0.4818,1.1864,1.47484,1.45867,0.0001775,0.0001775,0.0001775
54,685.444,0.73672,1.07937,1.11238,0.90904,0.93371,0.92321,0.497,1.18442,1.46457,1.45949,0.000156875,0.000156875,0.000156875
55,697.919,0.73234,1.09719,1.12966,0.90493,0.933,0.92572,0.51766,1.18948,1.42595,1.4656,0.00013625,0.00013625,0.00013625
56,710.326,0.75426,1.05892,1.11086,0.8874,0.91807,0.92222,0.54821,1.17903,1.34318,1.46806,0.000115625,0.000115625,0.000115625
57,722.669,0.73482,1.06019,1.11079,0.9083,0.9099,0.93418,0.56466,1.16355,1.32604,1.45633,9.5e-05,9.5e-05,9.5e-05
58,735.24,0.73082,1.03772,1.12222,0.90878,0.90982,0.93813,0.56347,1.15859,1.32033,1.45159,7.4375e-05,7.4375e-05,7.4375e-05
59,747.681,0.72795,1.01669,1.10391,0.91064,0.91203,0.93902,0.5678,1.15965,1.32203,1.44904,5.375e-05,5.375e-05,5.375e-05
60,760.174,0.73371,1.03732,1.11676,0.90916,0.91558,0.93864,0.55339,1.17371,1.32152,1.45773,3.3125e-05,3.3125e-05,3.3125e-05
