epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2035,1.46551,3.32756,1.74452,0.02124,0.86364,0.09135,0.03036,1.69747,3.728,2.32172,5e-05,5e-05,5e-05
2,27.9425,1.22638,3.0689,1.40854,0.02234,1,0.19387,0.09802,1.08374,3.35348,1.37186,0.000110644,0.000110644,0.000110644
3,41.7234,1.02551,2.91791,1.26134,0.02911,1,0.39663,0.22056,1.13951,3.36524,1.42646,0.000169225,0.000169225,0.000169225
4,55.5512,1.00003,2.7524,1.26003,0.02942,1,0.43849,0.24244,1.08974,3.34125,1.40651,0.000225744,0.000225744,0.000225744
5,69.5693,1.03463,2.54082,1.24869,0.02306,1,0.58228,0.34964,0.93064,3.2844,1.2476,0.0002802,0.0002802,0.0002802
6,83.5732,1.04103,2.42347,1.19723,0.02094,1,0.63147,0.35786,1.02184,3.26953,1.2748,0.000332594,0.000332594,0.000332594
7,97.8805,1.03419,2.25461,1.237,0.02121,0.97727,0.71554,0.44264,0.96846,3.201,1.22993,0.000382925,0.000382925,0.000382925
8,112.151,1.10836,2.10912,1.27692,0.0241,1,0.79678,0.47267,0.94201,3.1424,1.2529,0.000431194,0.000431194,0.000431194
9,126.451,1.11696,1.91684,1.26562,0.02182,1,0.82313,0.48716,1.02023,3.05959,1.32676,0.0004774,0.0004774,0.0004774
10,140.377,1.09879,1.66419,1.28022,0.51383,0.8428,0.78897,0.42892,1.20426,2.90877,1.5485,0.000521544,0.000521544,0.000521544
11,154.281,1.08115,1.48956,1.25255,0.99915,0.67177,0.94579,0.56595,1.09117,2.82232,1.39017,0.000563625,0.000563625,0.000563625
12,168.173,1.10882,1.53069,1.27824,1,0.63633,0.96178,0.55794,1.0984,2.67161,1.36653,0.000603644,0.000603644,0.000603644
13,182.057,1.06962,1.46101,1.24763,0.94395,0.39301,0.93268,0.56282,1.15974,2.56965,1.42994,0.0006416,0.0006416,0.0006416
14,195.83,1.10523,1.38243,1.27478,0.91731,0.75092,0.93203,0.56108,1.19972,2.30215,1.47249,0.000677494,0.000677494,0.000677494
15,209.614,1.072,1.34183,1.20903,0.96692,0.82463,0.95415,0.55197,1.17862,2.30408,1.49343,0.000711325,0.000711325,0.000711325
16,223.476,1.01561,1.36543,1.25736,0.93951,0.82598,0.92641,0.54863,1.14266,2.16475,1.42667,0.000743094,0.000743094,0.000743094
17,237.319,1.08602,1.31953,1.23061,0.88103,0.95644,0.96241,0.55721,1.15852,2.12884,1.43435,0.0007728,0.0007728,0.0007728
18,251.168,1.07946,1.27805,1.21636,0.83934,0.91667,0.9447,0.54263,1.25354,2.14067,1.55151,0.000800444,0.000800444,0.000800444
19,264.877,1.01507,1.31939,1.21235,0.86077,0.80188,0.95873,0.55692,1.18492,2.20657,1.43913,0.000826025,0.000826025,0.000826025
20,278.584,1.03,1.3247,1.22034,0.86427,0.94652,0.92712,0.55362,1.15698,1.99891,1.38878,0.000849544,0.000849544,0.000849544
21,292.453,1.03182,1.29552,1.22048,0.90503,0.94624,0.95056,0.56712,1.21131,1.7288,1.45591,0.0008375,0.0008375,0.0008375
22,306.095,0.96544,1.22678,1.19968,0.88544,0.96604,0.95575,0.5659,1.2984,1.56261,1.54707,0.000816875,0.000816875,0.000816875
23,320.057,1.01522,1.22398,1.19128,0.91016,0.95644,0.95094,0.56413,1.26986,1.54478,1.51946,0.00079625,0.00079625,0.00079625
24,333.826,1.04277,1.25177,1.23524,0.89387,0.90554,0.93534,0.57636,1.19298,1.61783,1.43243,0.000775625,0.000775625,0.000775625
25,347.617,0.9851,1.17015,1.16761,0.87859,0.85913,0.9358,0.59366,1.23335,1.64531,1.48062,0.000755,0.000755,0.000755
26,361.499,0.9562,1.11014,1.12036,0.79793,0.94822,0.91926,0.56482,1.23771,1.65111,1.48881,0.000734375,0.000734375,0.000734375
27,375.206,0.9821,1.13263,1.14703,0.83372,0.92442,0.91435,0.58131,1.17714,1.66868,1.39393,0.00071375,0.00071375,0.00071375
28,388.786,0.96889,1.1935,1.18599,0.74438,0.82625,0.82516,0.53953,1.12209,1.67086,1.36658,0.000693125,0.000693125,0.000693125
29,402.568,0.94615,1.0979,1.16608,0.67585,0.93601,0.80299,0.52148,1.14167,1.72546,1.37606,0.0006725,0.0006725,0.0006725
30,416.217,0.94984,1.12097,1.15364,0.72685,0.88144,0.81257,0.4898,1.14736,1.79774,1.41472,0.000651875,0.000651875,0.000651875
31,429.868,0.92738,1.15825,1.16468,0.80498,0.91794,0.84505,0.51679,1.13993,1.64816,1.40706,0.00063125,0.00063125,0.00063125
32,443.569,0.90884,1.14652,1.14185,0.83638,0.9533,0.94846,0.5731,1.15864,1.47589,1.42019,0.000610625,0.000610625,0.000610625
33,457.38,0.93458,1.12927,1.16173,0.85497,0.95644,0.9584,0.58306,1.16802,1.39415,1.39693,0.00059,0.00059,0.00059
34,471.158,0.89895,1.10479,1.12173,0.87715,0.93371,0.96065,0.59401,1.22236,1.30028,1.40775,0.000569375,0.000569375,0.000569375
35,484.996,0.94061,1.07281,1.14419,0.89893,0.96293,0.96905,0.583,1.2042,1.29944,1.41313,0.00054875,0.00054875,0.00054875
36,498.795,0.9312,1.14249,1.17335,0.84807,0.93353,0.93419,0.56295,1.14594,1.36837,1.38166,0.000528125,0.000528125,0.000528125
37,512.626,0.90817,1.13273,1.16818,0.88072,0.93116,0.96602,0.57675,1.10365,1.38369,1.34435,0.0005075,0.0005075,0.0005075
38,526.227,0.91774,1.06981,1.137,0.85338,0.95644,0.94503,0.57417,1.08363,1.35976,1.32162,0.000486875,0.000486875,0.000486875
39,540.024,0.89899,1.13325,1.17037,0.87985,0.94299,0.93907,0.56419,1.10594,1.35298,1.33309,0.00046625,0.00046625,0.00046625
40,553.94,0.89772,1.05458,1.16647,0.86147,0.95644,0.93127,0.56708,1.08694,1.3431,1.31245,0.000445625,0.000445625,0.000445625
41,567.844,0.91571,1.06902,1.10838,0.90775,0.93371,0.9436,0.58745,1.06582,1.32027,1.30654,0.000425,0.000425,0.000425
42,581.85,0.93162,1.0885,1.15761,0.87726,0.95644,0.95917,0.58434,1.10114,1.29639,1.34187,0.000404375,0.000404375,0.000404375
43,595.763,0.91179,1.07676,1.13703,0.85317,0.94678,0.95516,0.5938,1.12084,1.25522,1.36468,0.00038375,0.00038375,0.00038375
44,609.802,0.90518,1.02522,1.13043,0.88701,0.92448,0.94435,0.57641,1.13978,1.215,1.37311,0.000363125,0.000363125,0.000363125
45,623.747,0.8827,1.03126,1.12263,0.89671,0.92583,0.94718,0.58806,1.15898,1.19863,1.38256,0.0003425,0.0003425,0.0003425
46,637.605,0.86257,1.03824,1.12038,0.90738,0.93219,0.94976,0.57774,1.16975,1.18413,1.39044,0.000321875,0.000321875,0.000321875
47,651.445,0.84654,1.00597,1.11972,0.89811,0.94344,0.95568,0.59087,1.18072,1.18964,1.40386,0.00030125,0.00030125,0.00030125
48,665.207,0.85963,1.02411,1.11716,0.90581,0.91893,0.93199,0.55109,1.18774,1.24828,1.39283,0.000280625,0.000280625,0.000280625
49,679.158,0.82449,0.99165,1.09359,0.90345,0.93371,0.91552,0.52464,1.18647,1.24743,1.39774,0.00026,0.00026,0.00026
50,692.826,0.84172,1.02282,1.11373,0.89804,0.90787,0.91061,0.52952,1.20832,1.22743,1.42322,0.000239375,0.000239375,0.000239375
51,706.483,0.77969,1.13956,1.10418,0.88354,0.92861,0.90939,0.52049,1.21953,1.23665,1.43749,0.00021875,0.00021875,0.00021875
52,719.934,0.75708,1.10606,1.11325,0.88041,0.93371,0.90644,0.50147,1.22578,1.2986,1.445,0.000198125,0.000198125,0.000198125
53,733.22,0.73543,1.06153,1.10773,0.88182,0.93371,0.90672,0.51491,1.24539,1.31042,1.47425,0.0001775,0.0001775,0.0001775
54,746.475,0.72047,1.0206,1.09116,0.89847,0.93132,0.90594,0.51213,1.26001,1.28637,1.5046,0.000156875,0.000156875,0.000156875
55,759.898,0.71519,1.01089,1.09482,0.81697,0.95327,0.89755,0.51762,1.27223,1.28191,1.51255,0.00013625,0.00013625,0.00013625
56,773.482,0.73557,0.99824,1.0834,0.85331,0.90314,0.91572,0.55203,1.33337,1.22523,1.57675,0.000115625,0.000115625,0.000115625
57,786.967,0.74047,1.00364,1.08924,0.86447,0.91491,0.9107,0.53399,1.33252,1.22701,1.58185,9.5e-05,9.5e-05,9.5e-05
58,800.547,0.71559,0.96357,1.09245,0.88089,0.92792,0.90478,0.52147,1.32878,1.22228,1.58305,7.4375e-05,7.4375e-05,7.4375e-05
59,813.982,0.69961,0.97319,1.07031,0.88727,0.93371,0.90044,0.52277,1.31847,1.21326,1.58611,5.375e-05,5.375e-05,5.375e-05
60,827.38,0.71585,0.9766,1.0934,0.87534,0.91942,0.90332,0.52115,1.30071,1.19992,1.58422,3.3125e-05,3.3125e-05,3.3125e-05
